type,rise_start,peaks_time,decay_end,peak_values,bg_for_this_peak
1.9B,85021401.7741647,85021642.22925997,85021907.76477002,4.631937264916667,2.6938925475833333
2.5B,85022377.00621597,85024582.22925997,85024838.01243898,5.159228124416667,2.6938925475833333
2.4B,85023225.55601205,85026142.22925997,85026376.84774077,5.073751668750002,2.6938925475833333
2.4B,85027100.63676272,85029322.22925997,85029466.03683393,5.044066645416668,2.6938925475833333
2.3B,85027621.49523719,85032262.22925997,85032429.8484635,4.995751714000001,2.6938925475833333
2.6B,85034538.55270809,85037602.22925997,85037898.7415729,5.302706639999999,2.6938925475833333
2.2B,85005281.44772911,85050455.22925997,85050648.70655724,4.880822971083334,2.6938925475833333
2.1B,85047610.101655,85054655.22925997,85054850.36192235,4.757304635750001,2.6938925475833333
3.7B,85054748.82480186,85056035.22925997,85056476.09626062,6.3606293227499995,2.6938925475833333
2.0B,85059338.91196948,85058675.22925997,85058871.33874609,4.7221854455,2.6938925475833333
2.7B,85058497.54256901,85060835.22925997,85061082.63598831,5.431969268000001,2.6938925475833333
3.1B,85057740.60332844,85063595.22925997,85063772.00112887,5.843342305583334,2.6938925475833333
3.7B,85063013.2960917,85064735.22925997,85065106.23818713,6.402247201083333,2.6938925475833333
2.6B,85059939.02621114,85067075.22925997,85067305.34706736,5.269655128666667,2.6938925475833333
2.4B,85065796.29822224,85069175.22925997,85069364.78930457,5.06509260675,2.6938925475833333
2.4B,85041585.14891966,85071395.22925997,85071397.44476268,5.055180115000001,2.6938925475833333
2.7B,85066953.6093211,85072655.22925997,85072969.55183004,5.353085371250001,2.6938925475833333
3.1B,85076829.79582213,85078295.22925997,85078496.90013285,5.760078926416667,2.6938925475833333
2.6B,85078366.47716005,85080755.22925997,85080985.51247804,5.296447506833333,2.6938925475833333
2.5B,85097087.51949233,85082915.22925997,85083147.96353656,5.209098864416666,2.6938925475833333
